trade_id,timestamp,symbol,side,price,quantity,commission
T20240126000001,2024-01-26T00:00:00,GOOGL,BUY,136.147224,100,1.0
T20240207000002,2024-02-07T00:00:00,AAPL,BUY,127.955586,100,1.0
T20240221000003,2024-02-21T00:00:00,AAPL,SELL,115.17696,100,1.0
T20240221000004,2024-02-21T00:00:00,GOOGL,SELL,139.252144,100,1.0
T20240223000005,2024-02-23T00:00:00,GOOGL,BUY,140.27805,100,1.0
T20240306000006,2024-03-06T00:00:00,GOOGL,SELL,137.012592,100,1.0
T20240308000007,2024-03-08T00:00:00,AAPL,BUY,115.27305,100,1.0
T20240313000008,2024-03-13T00:00:00,GOOGL,BUY,137.867568,100,1.0
T20240502000009,2024-05-02T00:00:00,GOOGL,SELL,151.649664,100,1.0
T20240509000010,2024-05-09T00:00:00,AAPL,SELL,114.447106,100,1.0
T20240515000011,2024-05-15T00:00:00,GOOGL,BUY,146.119218,100,1.0
T20240612000012,2024-06-12T00:00:00,AAPL,BUY,93.998796,100,1.0
T20240618000013,2024-06-18T00:00:00,AAPL,SELL,91.741648,100,1.0
T20240626000014,2024-06-26T00:00:00,GOOGL,SELL,145.67086,100,1.0
T20240627000015,2024-06-27T00:00:00,AAPL,BUY,93.448686,100,1.0
